What's the last movie you saw in the theater?,"On a scale of 1 star to 5 stars, how would you rate that movie?",What is your height in inches?,"How many inches long is your foot?  If you don't have something for measuring handy, just estimate.",What is your gender?,"What city and state were you born in? If you were born outside the US, please put the country as well.",Do you consider yourself a vegetarian or vegan?,Have you ever been in a car accident when YOU were the driver?,Which of the following desserts do you prefer most?,Which choice best reflects your political leanings?,Which choice best reflects the political leanings of your mother?,How many siblings do you have?,How long does it take to drive from your hometown to Statesboro? Report your answer in minutes.,Do you give your permission for the instructor to use this data in examples?  Your name and ID will not appear and all information will be treated anonymously.,What is your major?
The Lego Movie,3,62,8.5,Female,"Statesboro, GA",No,No,Pie,Conservative,Conservative,1,5,Yes,Geography
Guardians of the Galaxy,5,70,,Male,,No,Yes,Other,Moderate,Conservative,1,270-300 minutes,yes,Criminal Justice
Guardian's of the Galaxy ,5,66,10,Female,Augusta Georgia ,No,Yes,Other,Moderate,Conservative,1,94,Yes,Nutrition/Food Science
22 Jump Street ,3,57,14,Female,"Lake Charles, Louisiana ",No,Yes,Cookies,Moderate,Conservative,1,105,Yes,Pre Nursing
Transformers 4,3,71,8,Male,Henan China(mainland),No,No,Pie,Moderate,Conservative,1,Maybe 6000miutes,Yes,Chemistry 
Guardians of the Galaxy,5,71,10.5,Male,"Augusta, Georgia",No,Yes,Pie,Moderate,Conservative,3,35,yes,Chemistry
anchorman 2,3,69,14,Male,"albany, georgia",No,No,Pie,Conservative,Conservative,2,180,yes,biology
Grown Ups,5,76,15,Male,"Union Springs, Alabama",No,No,Pie,Moderate,Conservative,0,600,yes,Construction Management
22 Jump Street,4,72,10.5,Male,"Statesboro, GA",No,No,Cake,Moderate,Liberal,1,0,Yes,Nursing
Lucy,3,67,9,Male,The Bahamas,No,No,Other,Conservative,Conservative,1,180,yes,pre-med biology
The Fault in Our Stars,5,68,8,Female,"Warner Robins, Ga",No,Yes,Brownies,Moderate,Moderate,1,120 minutes,yes,Justice Studies
22 Jump Street,4,66,8,Female,"Dunwoody, GA",No,Yes,Cake,Moderate,Moderate,5 or more,90 minutes,yes,Pre-Med Biology
