"Country","Population","GDP"
"World",8.137e+09,115494312
"India",1413324000,4270000
"China",1408280000,19535000
"United States",340110988,30338000
"Indonesia",282477584,1493000
"Pakistan",241499431,393100
"Nigeria",223800000,194760
"Brazil",212583750,2308000
"Bangladesh",169828911,457700
"Russia",146028325,2197000
"Mexico",130294079,1818000
"Japan",123440000,4390000
"Philippines",114123600,507670
"Ethiopia",109499000,238910
"Egypt",105914499,345800
"Vietnam",101343800,506600
"Iran",85961000,478100
"Turkey",85664944,1458000
"Germany",83555478,4922000
"France",68609000,3284000
"United Kingdom",68265209,3731000
"Thailand",65932105,545341
"South Africa",63015904,418046
"Tanzania",61741120,79867
"Italy",58934177,2460000
"Colombia",52695952,419331
"Kenya",52428290,116660
"Myanmar",51316756,64284
"South Korea",51207874,1948000
"Sudan",50448963,30873
"Spain",49077984,1828000
"Algeria",47400000,264270
"Argentina",47067641,604201
"Uganda",45905417,55587
"Iraq",44414800,270874
"Afghanistan",42045000,14467
"Canada",41528680,2331000
"Uzbekistan",37543167,127410
"Poland",37470000,915451
"Morocco",36828330,168597
"Angola",35121734,118410
"Malaysia",34157500,488700
"Peru",34038457,294898
"Mozambique",33244414,22975
"Ghana",33007618,75307
"Ukraine",32962000,189827
"Yemen",32305264,16940
"Saudi Arabia",32175224,1138000
"Madagascar",30811969,16465
"Ivory Coast",29389150,86993
"Nepal",29164578,43673
"Cameroon",28758503,53391
"Venezuela",28405543,109960
"Australia",27309396,1882000
"Niger",26312034,18816
"Burkina Faso",23409015,21902
"Taiwan",23374742,814438
"Mali",22395489,21662
"Kazakhstan",20316155,306629
"Malawi",20270568,11241
"Chile",20086377,362240
"Zambia",19610769,29872
"Romania",19064409,406202
"Somalia",19009151,12804
"Chad",18675547,18697
"Senegal",18126390,33685
"Netherlands",18060445,1273000
"Guatemala",17843132,120960
"Cambodia",17336307,51159
"Ecuador",16938986,125660
"Zimbabwe",16751469,35919
"South Sudan",15254268,6517
"Guinea",14363931,25447
"Rwanda",13798561,13701
"Benin",12910087,21371
"Burundi",12837740,3075
"Tunisia",11887412,52636
"Haiti",11867032,24046
"Belgium",11812354,689364
"Papua New Guinea",11781559,31716
"Jordan",11734000,53305
"Bolivia",11312620,48172
"Czech Republic",10909500,360233
"Dominican Republic",10771504,135540
"United Arab Emirates",10678556,568567
"Portugal",10639726,319934
"Sweden",10587970,638780
"Greece",10400720,265171
"Tajikistan",10277100,13000
"Azerbaijan",10218536,75649
"Israel",10045100,550905
"Honduras",9892632,36735
"Hungary",9540000,312619
"Austria",9198214,559218
"Belarus",9109280,73129
"Switzerland",9027859,1e+06
"Sierra Leone",8884032,4558
"Togo",8095498,9832
"Laos",7546000,15190
"Libya",7381023,44812
"Kyrgyzstan",7161900,15770
"Turkmenistan",7057841,83883
"Nicaragua",6803886,18829
"Serbia",6605168,82550
"Central African Republic",6470307,2810
"Bulgaria",6445481,115530
"Paraguay",6109644,44937
"Singapore",6036900,561730
"El Salvador",6029976,35848
"Denmark",5992734,432228
"Finland",5639600,319989
"Norway",5594340,503470
"Lebanon",5490000,21780
"Palestine",5483450,18602
"Slovakia",5419451,152480
"Ireland",5380300,587225
"New Zealand",5356700,262924
"Costa Rica",5309625,100670
"Oman",5274249,111310
"Liberia",5248621,4754
"Mauritania",4927532,10628
"Kuwait",4913271,161950
"Panama",4064780,91739
"Croatia",3859686,96030
"Georgia",3694600,33191
"Mongolia",3504741,21943
"Uruguay",3499451,82605
"Bosnia and Herzegovina",3264873,29078
"Armenia",3075800,25408
"Namibia",3022401,12765
"Lithuania",2889402,82789
"Qatar",2857822,240217
"Jamaica",2825544,20098
"Moldova",2423300,18356
"Gambia",2417471,2694
"Botswana",2410338,21418
"Gabon",2408586,21013
"Albania",2402113,25431
"Lesotho",2306000,2395
"Slovenia",2129052,73198
"Latvia",1850100,45521
"North Macedonia",1826247,15873
"Guinea-Bissau",1781308,2151
"Bahrain",1588670,47812
"Kosovo",1585566,11318
"Equatorial Guinea",1558160,10708
"Timor-Leste",1373024,1992
"Estonia",1369285,43044
"Trinidad and Tobago",1368333,28365
"Mauritius",1244477,16359
"Eswatini",1235549,5085
"Djibouti",1066809,4364
"Cyprus",966400,34790
"Fiji",900869,5801
"Comoros",870038,1422
"Bhutan",777224,3110
"Guyana",772975,21178
"Solomon Islands",750325,1707
"Luxembourg",672050,96990
"Montenegro",623633,8010
"Suriname",616500,4337
"Malta",563443,22737
"Maldives",515132,7199
"Cape Verde",491233,2718
"Brunei",455500,15988
"Belize",410919,3296
"Bahamas",398165,14390
"Iceland",389450,32919
"Vanuatu",321409,1289
"Barbados",267800,6863
"São Tomé and Príncipe",228319,751
"Samoa",205557,1024
"Saint Lucia",184100,2582
"Seychelles",122038,2203
"Kiribati",120740,311
"Grenada",112579,1406
"Saint Vincent and the Grenadines",110872,1128
"Micronesia",105754,484
"Antigua and Barbuda",103603,2127
"Tonga",100179,581
"Andorra",87486,3897
"Dominica",67408,708
"Saint Kitts and Nevis",51320,1134
"Marshall Islands",42418,305
"San Marino",34042,2033
"Palau",16733,308
"Nauru",11680,161
"Tuvalu",10643,66
