"Title","Author"
"The Hunger Games (The Hunger Games, #1)","Suzanne Collins"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling"
"Pride and Prejudice","Jane Austen"
"To Kill a Mockingbird","Harper Lee"
"The Book Thief","Markus Zusak"
"Twilight (The Twilight Saga, #1)","Stephenie Meyer"
"Animal Farm","George Orwell"
"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)","C.S. Lewis"
"The Fault in Our Stars","John Green"
"The Picture of Dorian Gray","Oscar Wilde"
"The Giving Tree","Shel Silverstein"
"Wuthering Heights","Emily Brontë"
"The Lightning Thief (Percy Jackson and the Olympians, #1)","Rick Riordan"
"Gone with the Wind","Margaret Mitchell"
"The Perks of Being a Wallflower","Stephen Chbosky"
"The Little Prince","Antoine de Saint-Exupéry"
"Jane Eyre","Charlotte Brontë"
"The Great Gatsby","F. Scott Fitzgerald"
"Crime and Punishment","Fyodor Dostoevsky"
"The da Vinci Code (Robert Langdon, #2)","Dan    Brown"
"Alice’s Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll"
"Divergent (Divergent, #1)","Veronica Roth"
"Memoirs of a Geisha","Arthur Golden"
"Les Misérables","Victor Hugo"
"The Alchemist","Paulo Coelho"
"Anne of Green Gables (Anne of Green Gables, #1)","L.M. Montgomery"
"Lord of the Flies","William Golding"
"Romeo and Juliet","William Shakespeare"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams"
"City of Bones (The Mortal Instruments, #1)","Cassandra Clare"
"The Help","Kathryn Stockett"
"Dracula","Bram Stoker"
"Charlotte’s Web","E.B. White"
"Fahrenheit 451","Ray Bradbury"
"Ender’s Game (Ender's Saga, #1)","Orson Scott Card"
"Of Mice and Men","John Steinbeck"
"Brave New World","Aldous Huxley"
"The Catcher in the Rye","J.D. Salinger"
"One Hundred Years of Solitude","Gabriel García Márquez"
"A Thousand Splendid Suns","Khaled Hosseini"
"1984","George Orwell"
"Little Women (Little Women, #1)","Louisa May Alcott"
"The Outsiders","S.E. Hinton"
"The Princess Bride","William Goldman"
"The Secret Garden","Frances Hodgson Burnett"
"A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin"
"The Time Traveler's Wife","Audrey Niffenegger"
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)","J.K. Rowling"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling"
"A Wrinkle in Time (Time Quintet, #1)","Madeleine L'Engle"
"The Odyssey","Homer"
"Frankenstein: The 1818 Text","Mary Wollstonecraft Shelley"
"The Kite Runner","Khaled Hosseini"
"The Giver (The Giver, #1)","Lois Lowry"
"The Handmaid’s Tale (The Handmaid's Tale, #1)","Margaret Atwood"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling"
"Where the Wild Things Are","Maurice Sendak"
"The Lovely Bones","Alice Sebold"
"Green Eggs and Ham","Dr. Seuss"
"The Adventures of Huckleberry Finn","Mark Twain"
"Dune (Dune, #1)","Frank Herbert"
"Life of Pi","Yann Martel"
"A Tale of Two Cities","Charles Dickens"
"Lolita","Vladimir Nabokov"
"Slaughterhouse-Five","Kurt Vonnegut Jr."
"Water for Elephants","Sara Gruen"
"The Bell Jar","Sylvia Plath"
"Matilda","Roald Dahl"
"The Stand","Stephen        King"
"The Girl With the Dragon Tattoo (Millennium #1)","Stieg Larsson"
"Catch-22","Joseph Heller"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle"
"The Pillars of the Earth (Kingsbridge, #1)","Ken Follett"
"Watership Down (Watership Down, #1)","Richard  Adams"
"Rebecca","Daphne du Maurier"
"Great Expectations","Charles Dickens"
"The Color Purple","Alice Walker"
"Outlander (Outlander, #1)","Diana Gabaldon"
"Anna Karenina","Leo Tolstoy"
"One Flew Over the Cuckoo’s Nest","Ken Kesey"
"The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien"
"My Sister’s Keeper","Jodi Picoult"
"The Brothers Karamazov","Fyodor Dostoevsky"
"A Tree Grows in Brooklyn","Betty  Smith"
"A Clockwork Orange","Anthony Burgess"
"To Kill a Mockingbird","Harper Lee"
"The Road","Cormac McCarthy"
"The Golden Compass (His Dark Materials, #1)","Philip Pullman"
"Vampire Academy (Vampire Academy, #1)","Richelle Mead"
"Siddhartha","Hermann Hesse"
"Angela’s Ashes (Frank McCourt, #1)","Frank McCourt"
"Don Quixote","Miguel de Cervantes Saavedra"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling"
"The Old Man and the Sea","Ernest Hemingway"
"The Poisonwood Bible","Barbara Kingsolver"
"And Then There Were None","Agatha Christie"
"The Complete Stories and Poems","Edgar Allan Poe"
"Atlas Shrugged","Ayn Rand"
"Interview with the Vampire (The Vampire Chronicles, #1)","Anne Rice"
